,PYPL,AKAM,YELP,PI,AAPL,ZM,ESTC,STX,BABA,TEAM,JWN,DOCU,TRVG,VG,MSTR,DDOG,SSTK,ERIC,MDLA,MELI,TWLO,OKTA,CIEN,ACN,PLTR,ORCL,NTAP,CTXS,CSCO,ADSK,QIWI,BB,SLAB,SHOP,HUBS,V,SPOT,FVRR,WORK,PINS,SPLK,ZBRA,TDC,EPAM,NFLX,BIGC,DOCN,ADBE,QCOM,VMW,DASH,TWTR,ABNB,NTNX,ASAN,FTNT,REAL,AMZN,BIDU,BAH,EB,TU,EXTR,TSLA,NEWR,FEYE,INTU,W,RXT,CARG,UIS,CERN,TRUE,WIX,GRPN,ZEN
2016-05-01,,,,,,,,-0.004250329690305691,0.01219813856887849,,0.009329839887969593,,,0.028628064791246913,,,-2.959821776945786e-05,,,-0.015720201155539053,,,,,,0.03835565618616749,,,-0.02989275399829732,0.018156493514571187,-0.03206554526032254,,,0.01563704240792936,0.049706283529249405,,,,,,,,,,-0.019633209468364773,,,,,,,,,,,,,-0.00214915751906947,,,,0.007447150180344335,,,,,0.014072265633527996,-0.032857761747672694,,,,0.03760480376286068,0.02615362195487016,0.01465218270599778,-0.00012968840162545594,0.006594446731508081
2016-06-01,,,,,,,,-0.00652194369817794,0.010250796370033179,,-0.003963494016606538,,,0.00013810058161089895,,,0.04074876716273991,,,-0.00036989019088248527,,,,,,0.021455212613147638,,,0.013386217995875919,0.018130043582422015,-0.030571615632783534,,,0.023507348229609676,0.008019060539786026,,,,,,,,,,0.025365613427459004,,,,,,,,,,,,,0.05536567321467967,,,,-0.01805712924403701,,,,,0.014832983407433109,-0.017672223166052645,,,,0.01539522933180266,0.014232704936124715,-0.0007354599813824692,0.043250813685248544,-0.0008671451466558632
2016-07-01,,,,,,,,0.0009489404697243883,-0.012999783657248149,-0.014790071350953497,-0.012356213604424054,,,-0.0365212292187823,,,0.0010199521763676667,,,-0.029148025129581003,,,,,,-0.0451331043798809,,,-0.0028452484549360674,0.03940165187297211,-0.10270804700987358,,,-0.0050436046955723325,-0.06295712352839686,,,,,,,,,,-0.015947538435869633,,,,,,,,,,,,,0.03804698843731519,,,,-0.04849602013411054,,,,,-0.025427538738418475,-0.06484156680993146,,,,-0.00934274161620736,-0.013995427585553525,-0.0026031546849270082,-0.021005885486625138,-0.03444498003900612
2016-08-01,,,,,,,,-0.010434870812223052,0.02077150221191488,0.022673964549757158,-0.020370503432338413,,,0.018757779718635653,,,-0.025853287760218547,,,0.011365793689975959,,,,,,-0.02156512740420223,,,-0.036447259330830144,0.010792498076095397,-0.04037364650886644,,,0.011300155001286036,-0.02002777843893704,,,,,,,,,,-0.0031165419094960596,,,,,,,,,,,,,0.022232123275064023,,,,-0.05773800566644007,,,,,-0.02714641829740217,0.008981923094153835,,,,-0.018995098543003398,-0.013638597009436903,0.01321111872074978,-0.008179039234055628,0.01384480045148164
2016-09-01,,,,,,,,0.013634336489782819,0.027145507131462642,0.016319047751277096,-0.01851442452159903,,,-0.0032648185247729396,,,-0.04531588953180761,,,-0.0014524471386961164,,,,,,0.0072153888426425925,,,-0.02939573818357783,0.039919704878398896,0.01278222115763836,,,0.04006936688397924,0.03195339893167856,,,,,,,,,,0.01391549679815771,,,,,,,,,,,,,0.025861712096119368,,,,-0.011062678500724631,,,,,0.04300166449583689,0.0007520255587507202,,,,0.02250938029780388,-0.01810170414577664,0.027902530178284268,0.010399109769790617,-0.012312649918878633
2016-10-01,,,,,,,,-0.05799968122493636,0.029726973259439706,0.02157114010233579,0.04680022256033993,,,0.017096408035611806,,,-0.003517204935462606,,,-0.02029763612792199,,,,,,0.058466609315916664,,,0.008544244025103101,0.05902885183604609,-0.005661869752412914,,,0.03141055492084322,-0.022742376061564873,,,,,,,,,,0.004916709981233894,,,,,,,,,,,,,0.029129885216669735,,,,0.0513211203435803,,,,,-0.0011262676310438981,0.0005057277728355619,,,,0.031417615628760484,0.02366625456896596,0.04623639374206481,0.04943802100786891,-0.03272519984334803
2016-11-01,,,,,,,,-0.06510790108136284,-0.028728482957130628,0.02696560721069047,0.04771281851732157,,,0.02438931426357568,,,-0.01992382926090533,,,-0.024824270182308584,,,,,,0.047046227618695084,,,-0.012508649701518904,0.07629936234931241,0.0009979702121039658,,,0.031231881665029892,-0.050639119613612824,,,,,,,,,,-0.015365703790735754,,,,,,,,,,,,,-0.0015180004655577408,,,,0.07701698333840838,,,,,-0.0072736592224024845,-0.008068208800915746,,,,0.007372806684273085,-0.011591714113568996,-0.013303006034395515,0.08632422203369641,-0.03229684295702885
2016-12-01,,,,,,,,-0.0433806263887111,-0.028520654762391306,-0.033252515893374135,0.034835221641711746,,,0.003211760777285287,,,0.0785977325359932,,,-0.04927851054845564,,,,,,0.014196166808618373,,,-0.0075047465644193685,0.009034062708056862,0.0255404506202885,,,0.008427405108299625,-0.05477846848151985,,,,,,,,,,0.002152954779450646,,,,,,,,,,,,,0.022551017359441938,,,,0.01884241544639226,,,,,0.05817214013139219,-0.05548570389122598,,,,0.08756304614214575,0.03563538240354668,0.009644967600997008,0.011395045949614642,0.0451263022444214
2017-01-01,,,,,,,,0.0024638643513885186,0.08077929560756372,-0.02549691845252998,0.024876249563347056,,,-0.02067275936730737,,,0.03517641825107758,,,-0.0405880824008479,0.03223387347073584,,,,,0.029379927603435635,,,-0.021991537858489132,-0.013937067188081236,0.03566824358607687,,,0.0203008905853756,-0.04197722023589844,,,,,,,,,,-0.002517447885244955,,,,,,,,,,,,,0.03976213057066221,,,,0.021308356037432547,,,,,-0.004934141438149961,-0.00862586781210189,,,,0.03493620566536792,0.03123274491686976,0.046552275488611156,0.0014493162570695887,0.00911200493506513
2017-02-01,,,,,,,,0.0025490817708532943,0.03774544264871667,0.06546988670508061,0.03871212152028723,,,0.09554414720106218,,,0.04177679056053674,,,-0.033653168139940154,0.01780606619176146,,,,,0.04700264867755327,,,0.057638908771480146,0.04345479266491502,0.026409557202077313,,,0.019784477228877984,0.013056201610129794,,,,,,,,,,0.028172284067336305,,,,,,,,,,,,,0.0630297965832484,,,,0.03344012097566138,,,,,0.04559601141608091,0.03730629535727198,,,,0.03146235342018104,0.05998969119692149,0.06114755754668432,0.016022319805243726,0.0550528848082595
