;symbol;shortName;stockName;githubUser;verified;notes;website;industry
49;PYPL;paypal;PayPal Holdings Inc;paypal;0;referred to in the official site;;
50;ADBE;adobe systems;Adobe Inc.;adobe;1;;;Computer Software: Prepackaged Software
51;QCOM;qualcomm;Qualcomm Inc;quic;0;referred to in the official site;https://quic.github.io/;Computer peripheral equipment
52;ACN;accenture;Accenture Plc Class A;accenture;0;referred to in the official site;https://accenture.github.io/;EDP Services
53;ZBRA;zebra technologies;Zebra Technologies Corporation Class A;zebra;0;referred to in the official site;https://developer.zebra.com/community/home/blog/2017/08/25/get-it-on-github;Computer peripheral equipment
54;WDC;western digital;Western Digital Corporation;westerndigitalcorporation;1;;;Electronic Components
55;STX;seagate technology;Seagate Technology PLC;seagate;1;;;Electronic Components
56;BAH;booz allen hamilton;Booz Allen Hamilton Holding Corporation Class A;boozallen;0;referred to in the official site;;Professional Services
57;CIEN;ciena;Ciena Corporation;ciena;0;;;Telecommunications Equipment
58;SLAB;silicon labs;Silicon Laboratories Inc.;siliconlabs;0;referred to in the official site;;Semiconductors
59;MSTR;microstrategy;MicroStrategy Incorporated Class A;microstrategy;0;;;Computer Software: Prepackaged Software
60;TDC;teradata;Teradata Corporation;teradata;0;referred to in the official site;;EDP Services
61;UIS;unisys;Unisys Corporation;unisys;0;;;EDP Services
62;PLTR;palantir technologies;Palantir Technologies Inc. Class A;palantir;1;;;Retail: Computer Software & Peripheral Equipment
63;XLNX;xilinx;Xilinx;xilinx;0;;;Semiconductors
64;FTNT;fortinet;Fortinet;fortinet;1;;;Diversified Manufacture
65;EPAM;epam systems;EPAM Systems;epam;1;;;EDP Services
66;AKAM;akamai technologies;Akamai Technologies;akamai;1;;;Business Services
67;CTXS;citrix systems;Citrix Systems;citrix;1;;;Computer Software: Prepackaged Software
68;NTAP;netapp;NetApp;netapp;1;;;Electronic Components
69;VMW;vmware;VMware;vmware;1;vmware also owns pivotal;;Computer Software: Prepackaged Software
70;FEYE;fireeye inc;FireEye;fireeye;0;referred to in the official site;;Computer Software: Prepackaged Software
71;PI;impinj;Impinj;impinj;1;;;Telecommunications Equipment
72;EXTR;extreme networks;Extreme Networks;extremenetworks;1;;;Telecommunications Equipment
73;TSLA;ericsson nikola tesla;Tesla Inc;teslamotors;1;;;Auto Manufacturing
74;BB;blackberry limited;BlackBerry Limited;blackberry;0;referred to in the official site;;
75;BIDU;baidu;Baidu;baidu;0;;;Computer Software: Programming Data Processing
76;ZM;zoom;Zoom Video Communications Inc;zoom;1;;;Telecommunications Equipment
77;FB;facebook;Facebook Inc. Common Stock;facebook;1;;;Internet and Information Services
78;GOOGL;google;Alphabet Inc Class A;google;1;;;Internet and Information Services
79;TWTR;twitter;Twitter Inc. Common Stock;twitter;0;referred to in the official site;https://twitter.github.io/projects/;EDP Services
80;YELP;yelp;Yelp Inc. Common Stock;yelp;0;referred to in the official site ;https://www.yelp.com/engineering;Internet and Information Services
81;SPOT;spotify;Spotify Technology S.A. Ordinary Shares ;spotify;0;referred to in the official site;https://spotify.github.io/;Broadcasting
