,TSLA,CERN,RXT,HUBS,INTU,OKTA,TRUE,MELI,QIWI,SLAB,JWN,TWTR,CTXS,PINS,BIDU,ZEN,EB,ASAN,TRVG,UIS,NTAP,BB,CIEN,EPAM,ZM,SPOT,CSCO,VMW,PYPL,ADBE,ACN,BAH,WORK,PLTR,FVRR,MDLA,FTNT,DASH,TU,CARG,YELP,AKAM,NTNX,V,NEWR,SHOP,ORCL,DOCN,QCOM,ABNB,ADSK,SSTK,REAL,EXTR,NFLX,AAPL,VG,MSTR,WIX,DDOG,SPLK,ZBRA,TDC,BABA,AMZN,ESTC,TWLO,GRPN,W,BIGC,ERIC,FEYE,PI,TEAM,DOCU
2016-05-01,,-0.006275467265991381,,-0.006275467265991381,-0.006275467265991381,,-0.006275467265991381,-0.006275467265991381,-0.006275467265991381,,-0.006275467265991381,,,,,-0.006275467265991381,,,,,,,,,,,-0.006275467265991381,,,,,,,,,,,,-0.006275467265991381,,,,,,,-0.006275467265991381,-0.006275467265991381,,,,-0.006275467265991381,-0.006275467265991381,,,-0.006275467265991381,,-0.006275467265991381,,-0.006275467265991381,,,,,-0.006275467265991381,-0.006275467265991381,,,-0.006275467265991381,-0.006275467265991381,,,,,,
2016-06-01,,-0.0035669182820281635,,-0.0035669182820281635,-0.0035669182820281635,,-0.0035669182820281635,-0.0035669182820281635,-0.0035669182820281635,,-0.0035669182820281635,,,,,-0.0035669182820281635,,,,,,,,,,,-0.0035669182820281635,,,,,,,,,,,,-0.0035669182820281635,,,,,,,-0.0035669182820281635,-0.0035669182820281635,,,,-0.0035669182820281635,-0.0035669182820281635,,,-0.0035669182820281635,,-0.0035669182820281635,,-0.0035669182820281635,,,,,-0.0035669182820281635,-0.0035669182820281635,,,-0.0035669182820281635,-0.0035669182820281635,,,,,-0.0035669182820281635,
2016-07-01,,-0.0016054425048190489,,-0.0016054425048190489,-0.0016054425048190489,,-0.0016054425048190489,-0.0016054425048190489,-0.0016054425048190489,,-0.0016054425048190489,,,,,-0.0016054425048190489,,,,,,,,,,,-0.0016054425048190489,,,,,,,,,,,,-0.0016054425048190489,,,,,,,-0.0016054425048190489,-0.0016054425048190489,,,,-0.0016054425048190489,-0.0016054425048190489,,,-0.0016054425048190489,,-0.0016054425048190489,,-0.0016054425048190489,,,,,-0.0016054425048190489,-0.0016054425048190489,,,-0.0016054425048190489,-0.0016054425048190489,,,,,-0.0016054425048190489,
2016-08-01,,0.0008745496052757511,,0.0008745496052757511,0.0008745496052757511,,0.0008745496052757511,0.0008745496052757511,0.0008745496052757511,,0.0008745496052757511,,,,,0.0008745496052757511,,,,,,,,,,,0.0008745496052757511,,,,,,,,,,,,0.0008745496052757511,,,,,,,0.0008745496052757511,0.0008745496052757511,,,,0.0008745496052757511,0.0008745496052757511,,,0.0008745496052757511,,0.0008745496052757511,,0.0008745496052757511,,,,,0.0008745496052757511,0.0008745496052757511,,,0.0008745496052757511,0.0008745496052757511,,,,,0.0008745496052757511,
2016-09-01,,0.0012751227965572594,,0.0012751227965572594,0.0012751227965572594,,0.0012751227965572594,0.0012751227965572594,0.0012751227965572594,,0.0012751227965572594,,,,,0.0012751227965572594,,,,,,,,,,,0.0012751227965572594,,,,,,,,,,,,0.0012751227965572594,,,,,,,0.0012751227965572594,0.0012751227965572594,,,,0.0012751227965572594,0.0012751227965572594,,,0.0012751227965572594,,0.0012751227965572594,,0.0012751227965572594,,,,,0.0012751227965572594,0.0012751227965572594,,,0.0012751227965572594,0.0012751227965572594,,,,,0.0012751227965572594,
2016-10-01,,0.001420131026966266,,0.001420131026966266,0.001420131026966266,,0.001420131026966266,0.001420131026966266,0.001420131026966266,,0.001420131026966266,,,,,0.001420131026966266,,,,,,,,,,,0.001420131026966266,,,,,,,,,,,,0.001420131026966266,,,,,,,0.001420131026966266,0.001420131026966266,,,,0.001420131026966266,0.001420131026966266,,,0.001420131026966266,,0.001420131026966266,,0.001420131026966266,,,,,0.001420131026966266,0.001420131026966266,,,0.001420131026966266,0.001420131026966266,,,,,0.001420131026966266,
2016-11-01,,0.0119215499032921,,0.0119215499032921,0.0119215499032921,,0.0119215499032921,0.0119215499032921,0.0119215499032921,,0.0119215499032921,,,,,0.0119215499032921,,,,,,,,,,,0.0119215499032921,,,,,,,,,,,,0.0119215499032921,,,,,,,0.0119215499032921,0.0119215499032921,,,,0.0119215499032921,0.0119215499032921,,,0.0119215499032921,,0.0119215499032921,,0.0119215499032921,,,,,0.0119215499032921,0.0119215499032921,,,0.0119215499032921,0.0119215499032921,,,,,0.0119215499032921,
2016-12-01,,0.015179763746909597,,0.015179763746909597,0.015179763746909597,,0.015179763746909597,0.015179763746909597,0.015179763746909597,,0.015179763746909597,,,,,0.015179763746909597,,,,,,,,,,,0.015179763746909597,,,,,,,,,,,,0.015179763746909597,,,,,,,0.015179763746909597,0.015179763746909597,,,,0.015179763746909597,0.015179763746909597,,,0.015179763746909597,,0.015179763746909597,,0.015179763746909597,,,,,0.015179763746909597,0.015179763746909597,,0.015179763746909597,0.015179763746909597,0.015179763746909597,,,,,0.015179763746909597,
2017-01-01,,0.025430367760040047,,0.025430367760040047,0.025430367760040047,,0.025430367760040047,0.025430367760040047,0.025430367760040047,,0.025430367760040047,,,,,0.025430367760040047,,,,,,,,,,,0.025430367760040047,,,,,,,,,,,,0.025430367760040047,,,,,,,0.025430367760040047,0.025430367760040047,,,,0.025430367760040047,0.025430367760040047,,,0.025430367760040047,,0.025430367760040047,,0.025430367760040047,,,,,0.025430367760040047,0.025430367760040047,,0.025430367760040047,0.025430367760040047,0.025430367760040047,,,,,0.025430367760040047,
2017-02-01,,0.027200822198398495,,0.027200822198398495,0.027200822198398495,,0.027200822198398495,0.027200822198398495,0.027200822198398495,,0.027200822198398495,,,,,0.027200822198398495,,,,,,,,,,,0.027200822198398495,,,,,,,,,,,,0.027200822198398495,,,,,,,0.027200822198398495,0.027200822198398495,,,,0.027200822198398495,0.027200822198398495,,,0.027200822198398495,,0.027200822198398495,,0.027200822198398495,,,,,0.027200822198398495,0.027200822198398495,,0.027200822198398495,0.027200822198398495,0.027200822198398495,,,,,0.027200822198398495,
