,TSLA,CERN,RXT,HUBS,INTU,OKTA,TRUE,MELI,QIWI,SLAB,JWN,TWTR,CTXS,PINS,BIDU,ZEN,EB,ASAN,TRVG,UIS,NTAP,BB,CIEN,EPAM,ZM,SPOT,CSCO,VMW,PYPL,ADBE,ACN,BAH,WORK,PLTR,FVRR,MDLA,FTNT,DASH,TU,CARG,YELP,AKAM,NTNX,V,NEWR,SHOP,ORCL,DOCN,QCOM,ABNB,ADSK,SSTK,REAL,EXTR,NFLX,AAPL,VG,MSTR,WIX,DDOG,SPLK,ZBRA,TDC,BABA,AMZN,ESTC,TWLO,GRPN,W,BIGC,ERIC,FEYE,PI,TEAM,DOCU
2016-05-01,,0.10869599402638752,,0.15532198327375774,-0.020138438273316614,,0.0580250361429974,-0.010601084320704293,0.012039003226570037,,-0.020418708996980554,,,,,-0.03992551447830386,,,,,,,,,,,0.015564223247539186,,,,,,,,,,,,-0.11431203286817879,,,,,,,0.05901338765318433,0.14465051091731027,,,,-0.016681759752750644,-0.06697365055488241,,,-0.12971776542133584,,0.060814289179158924,,0.02487217461997955,,,,,0.015674672924424947,-0.02733495321794875,,,-0.07751477976114862,-0.058222745528062926,,,,,,
2016-06-01,,0.1586562565212702,,0.05940940321301578,-0.10052412715038217,,0.02450148430798934,0.003691721014086765,0.03224093722592253,,-0.03612709104448565,,,,,0.08272403314114332,,,,,,,,,,,0.09331595088186445,,,,,,,,,,,,-0.009499811897082724,,,,,,,0.025645284539146697,-0.013114557793985987,,,,0.02037599954288185,0.04075163822105244,,,0.035915263720263255,,0.08465019235508522,,-0.06085272114684713,,,,,-0.010348943021998694,0.05649114569983485,,,0.10718240471561219,0.05141656921984787,,,,,-0.03250831448419789,
2016-07-01,,-0.1352293957500703,,-0.1537622033973438,-0.0679186755286513,,0.06127876611680995,-0.26305048825318816,-0.09631727482714468,,0.015110424395128937,,,,,-0.0662795743125016,,,,,,,,,,,-0.17331206298550547,,,,,,,,,,,,-0.07787915879210296,,,,,,,0.08712776894798806,-0.059938251528461814,,,,0.027603000259949658,0.03698297326218365,,,0.08676574105050126,,-0.09308455040944617,,0.21938713922419162,,,,,0.03870015348393027,-0.019038612906662325,,,-0.1295032162663371,-0.06698133622564724,,,,,0.007394357508156372,
2016-08-01,,-0.005248210071391914,,0.04166048309063655,0.015843660488411192,,-0.3249414223433491,0.21105900871122507,-0.14376131586852034,,0.023845916889545075,,,,,0.1351170817310419,,,,,,,,,,,-0.0005269686401966387,,,,,,,,,,,,-0.22095008380023903,,,,,,,-0.09208255926298002,-0.03637306898047733,,,,0.20942739195835494,0.012846663649814714,,,-0.04921853311966764,,0.0049405408379033814,,0.25219220628572214,,,,,0.21126053188939398,0.11159885861951824,,,-0.0656263807662494,-0.00733827306671121,,,,,-0.009902304415067542,
2016-09-01,,0.06244375075244234,,0.00612989587702068,0.041895657250073076,,0.03523342447982735,-0.14925387202046286,0.0017956988721186916,,-0.05888144249014582,,,,,-0.07955297282290745,,,,,,,,,,,-0.16198963011726966,,,,,,,,,,,,-0.2436842631433468,,,,,,,0.0740095354443752,-0.16557949975321465,,,,0.06748817161636508,-0.13844822090603137,,,-0.06599292813444708,,-0.07023599516035074,,-0.1283668698389059,,,,,0.09796247328956927,0.14702955852670024,,,-0.19719796028188066,-0.02799338760994173,,,,,-0.019236294459515704,
2016-10-01,,-0.0812583134933951,,0.14970048635626756,-0.06440050848086354,,-0.03641809756132075,0.3805219349780829,-0.015970146408676743,,0.0792492092755747,,,,,-0.060640688872141926,,,,,,,,,,,-0.05986762539292401,,,,,,,,,,,,0.07094586881611173,,,,,,,-0.127008088579796,0.07727208881944261,,,,0.11709932064192505,-0.05738836260522795,,,0.13213150612427937,,-0.048427265399319755,,0.2405275718058529,,,,,0.2010876926420366,0.02160953888648922,,,0.07329027945826683,0.006911501188582945,,,,,-0.1545485006399278,
2016-11-01,,0.020519257436458604,,-0.08360794421261715,-0.056605320201250635,,-0.08586087134748914,-0.2672265019862761,0.023801102661371372,,-0.018370701503387453,,,,,-0.1417765271547207,,,,,,,,,,,0.04347665866045572,,,,,,,,,,,,-0.01155404877538241,,,,,,,-0.04108728031664156,0.16443375499802781,,,,0.11754029420388949,-0.07395923725334991,,,0.02177197924422302,,0.22556898777688617,,0.1788972508228288,,,,,-0.13120338362905737,0.08243604679309999,,,0.15466345727839587,0.006791944270063964,,,,,0.13691423116469384,
2016-12-01,,0.08767664049443154,,0.04242616441436449,-0.032628742935453744,,0.10263994026952601,-0.012648155791436034,-0.06947488993990593,,0.12398438369952237,,,,,0.07040617344145779,,,,,,,,,,,0.1123620847053131,,,,,,,,,,,,0.035287239071771004,,,,,,,0.01497953282393734,0.019748022675683936,,,,0.18451505166925244,-0.08079585355199524,,,0.004892264218435229,,-0.008073190531215154,,0.10421441327097412,,,,,-0.0211062118949231,0.017518597560518046,,0.012301589236370257,-2.672598114959908e-05,-0.06604079009611659,,,,,-0.0019506563813422983,
2017-01-01,,0.07450958717574138,,-0.012450187815349116,0.07393850494510723,,0.03638960465087694,-0.05577493405071086,-0.036568802411194166,,0.013949485771950342,,,,,-0.048947604162516554,,,,,,,,,,,-0.0011309399375816764,,,,,,,,,,,,-0.008710943418147932,,,,,,,0.05884013498438132,0.06658403391785155,,,,-0.07569116344182805,0.23259001525467865,,,0.08100413902612943,,-0.13548949340233948,,-0.1313462443184232,,,,,0.12685049951704205,0.13085471922540232,,0.13672393583485223,0.04820353555398861,-0.05462784215978762,,,,,0.027894612525387778,
2017-02-01,,0.09076046275302496,,0.035534428997096856,0.05859918773942259,,0.03534430928358732,-0.01852501180743082,-0.01210608960977335,,-0.0772629195349274,,,,,0.018858651156679274,,,,,,,,,,,0.07391136837176517,,,,,,,,,,,,0.21703773767209536,,,,,,,-0.0173881520249641,0.14757611712244,,,,0.15660307475502044,0.1339328294525259,,,0.10051318329479905,,0.14016870611515958,,0.10928422295077865,,,,,-0.046528346815373864,0.020102352914224096,,-0.02977734875496783,0.1291783723801989,0.09887075839002951,,,,,0.11012002224190386,
